date,key_fingerprint,domain_count
2026-04-01,AD3+DQA5qgAgACCkp7s0t3xDM2w6KTHdKMh9AIIYqZtE8fCqioJTfUh9QwAEAAEAAQAKZ29vZ2xlLmNvbQAA,2
2026-04-01,AD7+DQA6JAAgACBSoBLuzZ4cW58Gw4tFHcGfcA8wSPRMdDDeEteTesfVXAAEAAEAAQALcG9ybmh1Yi5jb20AAA==,2
2026-04-01,ADv+DQA34QAgACAfp+tRRhRQ2FS2Dh+3eBu9XYkjisyKJ7gMca5FelPZQAAEAAEAAQAIZS52d3Auc3UAAA==,1
2026-04-01,ADv+DQA3EQAgACArAsqpyIpCm7MtLKNsudSj8DUWb4VCz10MnExCcYn8FQAEAAEAAQAIaWV0Zi5vcmcAAA==,2
2026-04-01,AEH+DQA9JgAgACAY6/yqCQKAjZBHvzwzF/ZnadygxgJjpMYJDhsCG8b3HAAEAAEAAQAOcG93aGl0ZWxpc3QucnUAAA==,1
2026-04-01,AEH+DQA9kwAgACCxgr6gm71K7y7c5z5b+9o6Y6GTfP2Nxg8xu9EWvU6cSQAEAAEAAQAOcG93aGl0ZWxpc3QucnUAAA==,1
2026-04-01,AEP+DQA/hAAgACDXU+RNrdoLdDK+eh0PVKpE1XiqTaJ2YkuFOEKvmgrkHAAEAAEAAQAQc3BhY2VzLWdhbWVzLmNvbQAA,1
2026-04-01,AEP+DQA/mwAgACDiOWwV+YK/UCGldFBQMn77+oc0O+dmQcWXZ1fXXbfFXwAEAAEAAQAQd29ybGQ3OS5zcGNzLmJpbwAA,4
2026-04-01,AEP+DQA/ZAAgACAQl6+JD0EgImfsNsax1z7DChp28XMuJPw5+LPfIbvcAwAEAAEAAQAQdXN1YXJpb3Bvcm5vLmNvbQAA,1
2026-04-01,AET+DQBAAAAgACAS8L1zr6XGeULvGTwSSfF+bV/XdzI/zW/f3VV3IgUINgAIAAEAAQABAAMADWNvdmVyLmhha2Euc2UAAA==,1
2026-04-01,AEX+DQBBJwAgACDBZ7avS+uj0ZSlCcXzCY0Rfe+ijMwqd2T7l/Qf4DvlTQAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=,2896
2026-04-01,AEX+DQBBOwAgACCFt28uz4UJtPCp21OTiLLdCdSm/rt/X8AkwctizAB8BwAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=,1
2026-04-01,AEX+DQBBSQAgACCPbVGVSAB97eTPsjYHycjs0nJ86aBLmL+W7Q9NqIa4SQAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=,169389
2026-04-01,AJT+DQBIBAAgACAaYs1o5iaLRiyrj9fLZ4E5RqQH3cKZezOugH0YEDQOHgAMAAEAAQABAAIAAQADIRFlY2guYmVsd2F5LmZhbWlseQAA/g0ARE8AIAAge7ihqz/lzS7ZtRrAtlku/AH5kKQh72GHNDOSVEntIxEADAABAAEAAQACAAEAAx0NZWNoLmJlbHdheS5tZQAA,1
2026-04-02,AD3+DQA5oQAgACCmJCrq0hzTN077t/TCqtoDgKF+mZxDijZ2fY9VppExEwAEAAEAAgAKY3liZXIuY2FmZQAA,1
2026-04-02,AD3+DQA5qgAgACCkp7s0t3xDM2w6KTHdKMh9AIIYqZtE8fCqioJTfUh9QwAEAAEAAQAKZ29vZ2xlLmNvbQAA,2
2026-04-02,AD7+DQA6JAAgACBSoBLuzZ4cW58Gw4tFHcGfcA8wSPRMdDDeEteTesfVXAAEAAEAAQALcG9ybmh1Yi5jb20AAA==,2
2026-04-02,ADv+DQA3EQAgACArAsqpyIpCm7MtLKNsudSj8DUWb4VCz10MnExCcYn8FQAEAAEAAQAIaWV0Zi5vcmcAAA==,1
2026-04-02,AEH+DQA9JgAgACAY6/yqCQKAjZBHvzwzF/ZnadygxgJjpMYJDhsCG8b3HAAEAAEAAQAOcG93aGl0ZWxpc3QucnUAAA==,2
2026-04-02,AEH+DQA9kwAgACCxgr6gm71K7y7c5z5b+9o6Y6GTfP2Nxg8xu9EWvU6cSQAEAAEAAQAOcG93aGl0ZWxpc3QucnUAAA==,1
2026-04-02,AEP+DQA/hAAgACDXU+RNrdoLdDK+eh0PVKpE1XiqTaJ2YkuFOEKvmgrkHAAEAAEAAQAQc3BhY2VzLWdhbWVzLmNvbQAA,1
2026-04-02,AEP+DQA/mwAgACDiOWwV+YK/UCGldFBQMn77+oc0O+dmQcWXZ1fXXbfFXwAEAAEAAQAQd29ybGQ3OS5zcGNzLmJpbwAA,4
2026-04-02,AEP+DQA/ZAAgACAQl6+JD0EgImfsNsax1z7DChp28XMuJPw5+LPfIbvcAwAEAAEAAQAQdXN1YXJpb3Bvcm5vLmNvbQAA,2
2026-04-02,AET+DQBAAAAgACDVNCH0Zg2NBKXVY70kuy4l0Vc+2DkwSelvZ8ZcwAaaJgAIAAEAAQABAAMADWNvdmVyLmhha2Euc2UAAA==,1
2026-04-02,AEX+DQBBFQAgACAzgCq9Wrd5HzlDfk8NDxN7k7Cc7QBniseyJEYg4rD9ZAAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=,182426
2026-04-02,AEX+DQBBuQAgACDuxvZVAbTrH9BZlhtjn+zYw0PDei3JW8pMJ7JmV/UtSAAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=,12171
2026-04-02,AJT+DQBIBAAgACAaYs1o5iaLRiyrj9fLZ4E5RqQH3cKZezOugH0YEDQOHgAMAAEAAQABAAIAAQADIRFlY2guYmVsd2F5LmZhbWlseQAA/g0ARE8AIAAge7ihqz/lzS7ZtRrAtlku/AH5kKQh72GHNDOSVEntIxEADAABAAEAAQACAAEAAx0NZWNoLmJlbHdheS5tZQAA,1
2026-04-02,ANb+DQBGcgAgACCezUyhqnu8aDWZ6BJLQhBoHfemBs2+ZuYrBk2Dj7PPGwAMAAEAAQABAAIAAQADHw9lY2guZXhhbXBsZS5uZXQAAP4NAESwACAAIIV4soz0W05R/h8h23SMHLei4L8Ij1GAmba2uJOGwPdeAAwAAQABAAEAAgABAAMdDWVjaC5oaWRlZC5uZXQAAP4NAEBsACAAILU5qfWEFfLqKjb3XVEC/ufXw5VSgag9Al1frRW+X7IwAAwAAQABAAEAAgABAAMZCWhpZGVkLm5ldAAA,1
2026-04-03,AD3+DQA5qgAgACCkp7s0t3xDM2w6KTHdKMh9AIIYqZtE8fCqioJTfUh9QwAEAAEAAQAKZ29vZ2xlLmNvbQAA,2
2026-04-03,AD3+DQA5wQAgACBUG/LpWgGrX351YsH85VnwsshO7hIt+y6rBl3OV08cLQAEAAEAAgAKY3liZXIuY2FmZQAA,1
2026-04-03,AD7+DQA6JAAgACBSoBLuzZ4cW58Gw4tFHcGfcA8wSPRMdDDeEteTesfVXAAEAAEAAQALcG9ybmh1Yi5jb20AAA==,2
2026-04-03,ADv+DQA34QAgACAfp+tRRhRQ2FS2Dh+3eBu9XYkjisyKJ7gMca5FelPZQAAEAAEAAQAIZS52d3Auc3UAAA==,1
2026-04-03,ADv+DQA3EQAgACArAsqpyIpCm7MtLKNsudSj8DUWb4VCz10MnExCcYn8FQAEAAEAAQAIaWV0Zi5vcmcAAA==,1
2026-04-03,AEH+DQA9JgAgACAY6/yqCQKAjZBHvzwzF/ZnadygxgJjpMYJDhsCG8b3HAAEAAEAAQAOcG93aGl0ZWxpc3QucnUAAA==,2
2026-04-03,AEH+DQA9kwAgACCxgr6gm71K7y7c5z5b+9o6Y6GTfP2Nxg8xu9EWvU6cSQAEAAEAAQAOcG93aGl0ZWxpc3QucnUAAA==,1
2026-04-03,AEP+DQA/hAAgACDXU+RNrdoLdDK+eh0PVKpE1XiqTaJ2YkuFOEKvmgrkHAAEAAEAAQAQc3BhY2VzLWdhbWVzLmNvbQAA,1
2026-04-03,AEP+DQA/mwAgACDiOWwV+YK/UCGldFBQMn77+oc0O+dmQcWXZ1fXXbfFXwAEAAEAAQAQd29ybGQ3OS5zcGNzLmJpbwAA,4
2026-04-03,AEP+DQA/ZAAgACAQl6+JD0EgImfsNsax1z7DChp28XMuJPw5+LPfIbvcAwAEAAEAAQAQdXN1YXJpb3Bvcm5vLmNvbQAA,2
2026-04-03,AET+DQBAAAAgACBuGSFHZ3AlBfvKj8hIItUUZBqL2X3mHHIfIn2+dJDzEAAIAAEAAQABAAMADWNvdmVyLmhha2Euc2UAAA==,1
2026-04-03,AEX+DQBBBQAgACABjgCEJSOcAxOlYXP2QcZi9IAwgJCoK/xTW99PHwvCUwAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=,189851
2026-04-03,AEX+DQBBHwAgACDxsu1AZ/48TUgxM2HKfDksWK6UDHEFRL2sLQKaJXw2agAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=,4671
2026-04-03,AJT+DQBIBAAgACAaYs1o5iaLRiyrj9fLZ4E5RqQH3cKZezOugH0YEDQOHgAMAAEAAQABAAIAAQADIRFlY2guYmVsd2F5LmZhbWlseQAA/g0ARE8AIAAge7ihqz/lzS7ZtRrAtlku/AH5kKQh72GHNDOSVEntIxEADAABAAEAAQACAAEAAx0NZWNoLmJlbHdheS5tZQAA,1
2026-04-03,ANb+DQBGcgAgACCezUyhqnu8aDWZ6BJLQhBoHfemBs2+ZuYrBk2Dj7PPGwAMAAEAAQABAAIAAQADHw9lY2guZXhhbXBsZS5uZXQAAP4NAESwACAAIIV4soz0W05R/h8h23SMHLei4L8Ij1GAmba2uJOGwPdeAAwAAQABAAEAAgABAAMdDWVjaC5oaWRlZC5uZXQAAP4NAEBsACAAILU5qfWEFfLqKjb3XVEC/ufXw5VSgag9Al1frRW+X7IwAAwAAQABAAEAAgABAAMZCWhpZGVkLm5ldAAA,1
